original,replacement,edited
Full Moon Fever,6000000,false
Golden Wing,175000,false
Secrets of Dirigible Construction,2000069,false
The Relaxing Wain,715000,false
Best Friends,25000000,false
Golden Shoyru Book,400069,false
Iscas Great Seashell Collection,2000069,false
An Inside Look At A Plushie Meerca,24000000,false
The Blue Chomby,22000000,false
Deep Inside the Kreludan Mines,20000000,false
Happy Times with Rainbow Blumaroo,20000000,false
It Came From the Mine,2000069,false
My First Chia Book,20000000,false
Seeing Stars,2000069,false
Team Krawk Island: Journey to the Top,2000069,false
The Faerie Aisha,20000000,false
The Great Tiki Attack!,20000000,false
The Island Bruce,20000000,false
The Newest Book,2000069,false
The Tale of a Plushie Wocky,25000000,false
The Voodoo Techo,20000000,false
A History of Chias,18000000,false
All About Electric Gelerts,18000000,false
Kreludan Cookie Cookbook,400069,false
A Chia Story,20000000,false
Chia Art History,15000000,false
Cures for Bad Breath,15000000,false
Modern Lupe Magazine,15000000,false
The Tiny Pink Korbat,15000000,false
Chomby Mysteries,14500000,false
Nimmo Battle Cry,14000000,false
Olde Zafara,12000000,false
Brain Trees Brainiac,950000,false
How to Identify Poisons,2000069,false
Illusens Diary,2000069,false
Rainbow Bridge Scroll,23000,false
Snarkie Answers to Stupid Questions,2000069,false
The Bad Skeith,2000069,false
The Mighty Royal Uni,10000000,false
The Orange Meerca,10000000,false
The Purple Scorchio,10000000,false
Lifestyles of the Royal and the Uni,10000000,false
How To Cheat At Bagatelle,8000000,false
Its Not Easy Being Royal,400069,false
Modern Shenkuu,2000069,false
The Secret of Tyrannias Success,8000000,false
Usukicon Y11 Comic Book,890000,false
Frenzied - Demystifying the Shaye Fever,8000000,false
The Brief History of AC Winners,7400000,false
A Chia Halloween,7000000,false
Birthday Bash Scrapbook,5000000,false
Petfolio,1400000,false
Scorchio Talk,2000069,false
The Yellow Kougra,6000000,false
Trigonometry Hyperbolics,6000000,false
Lenny Witchcraft,5600000,false
Holidays in Altador,5000000,false
Princess Amiras Journal,5000000,false
Scary Korbat Tales,5000000,false
The Pink Quiggle,5000000,false
Ugga Smashing!,2000069,false
Usukicon Y12: A Dozen Years,5000000,false
Altador in Summer,2000069,false
Altador Cup XVI Brochure,400069,false
Kiko Lake Donation Guidebook,4500000,false
Flames of the Scorchio,2000069,false
Slushie Slinging for Novices,4000000,false
The Cloud Uni,4000000,false
The Pyramid Tablets,4000000,false
Usukicon Event Brochure,4000000,false
Book of Flames,2000069,false
Fans of Shenkuu,3500000,false
Springtime Defence,3500000,false
The Usuls Witching Halloween,3400000,false
Spooking the Competition,2000069,false
Alchemy Lessons,3000000,false
Elon Hughlis Autobiography: The Awesomeness of Me!,3000000,false
Faerie Fables,3000000,false
Favourite Faerieland Secrets,4800000,false
Fountain of Youth,3000000,false
Game Changer,3000000,false
Malediction for Beginners,3000000,false
Nights in Neovia: The Usuki Doll Mystery,3000000,false
Secrets of Tombola,2000069,false
The Abandoned Acara,3000000,false
The Eve of the Eve,3000000,false
The Island Of Kacheeks,3000000,false
Tree of Knowledge,3000000,false
Usuki Summer Journal,3000000,false
Vile Scroll of Possession,3000000,false
Waking the Draik,3000000,false
You Will Get Verrucas!,3000000,false
Neopian Atlas,3500000,false
Altador is Lovely in the Spring,2000069,false
Kougra Classics,2600000,false
