original,replacement,edited
Rotten Omelette Sandwich,1,False
Inferno Mollusk,1,False
Triple Tier Space Faerie Cake,1,False
Dirt Pie,1,False
Lint-Covered Peanut,1,False
Strawberry Koi Pop,1,False
Mint Jelly,1,False
Large Giant Squid,1,False
Turkey Cane,1,False
Breadfish,1,False
Slime Sundae,1,False
Slimesicle,1,False
Basket of Gross Berries,1,False
Transparifish,1,False
Rotten Cheese,1,False
Rotten Egg Salad,1,False
Rotten Apple,1,False
Pear Jelly,1,False
Starry Cookie Pile,1,False
Space Faerie Crisps,1,False
Bucket Of Slops,1,False
Eyefish,1,False
Starry Crunch,1,False
Whole Tigersquash Jelly,1,False
Mouldy Left-Overs,1,False
Cup of Stagnant Water,1,False
Nutritional Blockberry,1,False
Space Faerie Cupcake,1,False
Space Faerie Cereal,1,False
One of Us Tea Cake,1,False
Mummified Ice Cream,1,False
Skeith Juice Cocktail,1,False
Glowing Jelly,1,False
Pirate Hook Candy Cane,1,False
Bombfish,1,False
Ummagine,1,False
Rotten Wocky Day Cupcake,1,False
Drillaroot,1,False
Sprout Borovan,1,False
Tarnished Apple,1,False
Tanglepus,1,False
Small Giant Squid,1,False
Tagobo Potion,1,False
Digital Apple,1,False
Minty Rock Ice Cream,1,False
Ixi Hoof Soup,1,False
Taro Root Cakes,1,False
Lupe Snack Pack,1,False
Mutant Ketchup,1,False
Gelatinous Bouillon Non-Cube,1,False
Zombie Marshmallows,1,False
Spectral Shrimp,1,False
Snot Burger,1,False
Poisonous Jelly,1,False
Zeenana Peel,1,False
Half-eaten Berry,1,False
Cubefish,1,False
Space Slug Soup,1,False
Radarfish,1,False
Rocket Fizzy Drink,1,False
Grub Skewer,1,False
Gummy Pirate Candies,1,False
Almost Gummy Rat (Strawberry),1,False
Butterfish,1,False
Titanic Giant Squid,1,False
Snotty Jelly,1,False
Fractalpus,1,False
Edible Smelly Gym Socks,1,False
Pimplepepper,1,False
Space Spice,1,False
Red Chiaberry,10,False
Larfle,10,False
Cup of Frozen Borovan,10,False
Strawberry Jelly,10,False
Sand Dabs,10,False
Organic Peanut,10,False
Rice Crackers,10,False
French Toast Sticks,10,False
Pease Porridge,10,False
Neosaurus Tail,10,False
Half Pear Jelly,10,False
Queela Jelly,10,False
Symol Dirt Pie,10,False
Chocolate Lupe Treat,10,False
Reptillian Wing,10,False
Apple-Free Apple Cobbler,10,False
Homemade Gooseberry Jam,10,False
Worms and Dirt Sundae,10,False
Undead Turnip,10,False
Cheopple,10,False
Half Chokato Jelly,10,False
Tureen of Olives,10,False
Mint Jelly Half,10,False
Freshly Tinned Carrots,10,False
Half Cheese Jelly,100,False
1/3 Strawberry Omelette,100,False
Chokato Omelette,100,False
Candy Pirate Earrings,100,False
Deviled Eggs,100,False
Icy Mints,100,False
Sweetcorn with Tomato Sauce,100,False
Chocolate Chip Cookie Slushie,100,False
Bag of Chips,100,False
Chicken Leg Surprise,100,False
Organic Cashew Butter,100,False
Bullseye Candy,100,False
Lime Snow Puff,1000,False
Turbo Steak Meat,1000,False
Miniature Gingerbread City,1000,False
Golden Stalk,1000,False
Peophin Fruit Medley,1000,False
Caramel Cream Grarrl Foot,1000,False
Fishy Cheese,1000,False
Blueberry Lime Gormball Candy,1000,False
Baby Shoyru Biscuit,1000,False
Hot Chocolate,1000,False
Peas and Carrots Ice Lolly,1000,False
Gooseberry Shake,1000,False
Mushroom Sandwich,1000,False
Gooseberry Jam Sandwich,1000,False
Cocoa to Share from Kari,1000,False
Cheese Cookies,1000,False
Meepit Juice,1000,False
Jhudora Day Ice Cream,1000,False
Bubbling Blueberry Cheese Wedge,1000,False
Meepit Veggie Sandwich,1000,False
Gingerbread Slushie,1000,False
Symol White Cheddar Cheese Ball,1000,False
Altador Fruit on a Plate,1000,False
Glitter Moon Candy,1000,False
Raspberry Cranberry Juice,1000,False
Holiday Yooyu Gobstoppers,1000,False
Vanilla Gelert Ice Cream Sandwich,1000,False
Egg Gelatin,1000,False
Chocolate Chip Zafara Cookie,1000,False
Chocolate Gelert Cookie,1000,False
Piratey Fruit Juice,1000,False
Strawberry Kougra Cookie,1000,False
Twice Veggie,1000,False
Meteor Meat Pie,1000,False
Wrapped Halloween Chocolate Chia,1000,False
Treasure Chest Cake,1000,False
Lime JubJub Muffin,1000,False
Grape Pizza,1000,False
Berrybiscus Tartlet,1000,False
Extra Gooey Korbat Cake,1000,False
Lime Brucicle,1000,False
Coconut Soup,1000,False
Kiwi Slushie,1000,False
Cackleberry,1000,False
Ransaurus Steak,1000,False
Nimmo Curry and Rice Ball,1000,False
Sourdough Baguette,1000,False
Pteri Sundae,1000,False
Enoki-n-Cheese Plank,1000,False
Nimmo Sheppards Pie,1000,False
Cheops Slushie,1000,False
Undead Cheese Wedge,1000,False
Humbugs,1000,False
Uni Day Jam Sandwich,1000,False
Shoyru Ice Cream Sculpture,1000,False
Asteroid Puffs Cereal,1000,False
Minty Blumaroo Cone,1000,False
Chemistry Candy Set,1000,False
1/3 Chilli Deluxe Pizza,1000,False
Pink Lenny Lollipop,1000,False
Green Oat Cereal,1000,False
Skarl Kebab,1000,False
Green Techo Cookie,1000,False
Enchanted Popcorn,1000,False
Potato Cheese,1000,False
Caramel Usul Cake,1000,False
Jelly Cereal,1000,False
Strawberry Draik Lollypop,1000,False
1/3 Yummy Cloud Pizza,1000,False
White Chocolate JubJub Cake,1000,False
Spotty Cheese Wedge,1000,False
Gelert Day Cereal,1000,False
Chocolate Taquitos,1000,False
Mynci Waffles,1000,False
Speckled Scorchio Ravioli,1000,False
Strawberry Blumaroo Gummy Die,1000,False
Cherry Usuki Pastry,1000,False
Blended Pipper,1000,False
Sparkle Berry Slushie,1000,False
Pickled Keno Eggs,1000,False
Orange Chocolate Mynci,1000,False
Chocolate Chia Treat,1000,False
Roasted Aubergine Sandwich,1000,False
Citrus Usul Shake,1000,False
Organic Yellow Tomatoes,1000,False
2/3 Anchovy Pizza,1000,False
Meat Kebab,1000,False
Cinnamon Shell Spiral,1000,False
Jacket Potato with Nachos,1000,False
Raspberry Jelly Heart,1000,False
Neopolitan Jetsam Fin Cookie,1000,False
Orange Chocolate Koi,1000,False
Balloon-Shaped Ring Lolly,1000,False
Fyora Tart,1000,False
Berry Buzz Ice Cream,1000,False
Churros,1000,False
Tetraberry Slushie,1000,False
Blueberry Faerie Bubble,1000,False
Chocolate Top Hat and Cane,1000,False
Snot Volcano,1000,False
Voidberry Cobbler,1000,False
Harffel Fruit Scone,1000,False
Chocolate Tetraberry Pteri Eggs,1000,False
Vampire Wax Lips,1000,False
Blueberry Chia Pop,1000,False
Tigerbuggle Tuskaninny Ice Cream,1000,False
Lenny Veggie Burger,1000,False
Chocolate Cannon Ball,1000,False
Easy-to-make Insta-meal,1000,False
Blue Raspberry Shaved Ice,1000,False
Altador Sunny Eggs,10000,False
