original,replacement,edited
Faerie Slingshot,Inflation Notice,false
Ice Dice,500000000,false
Bottle Of Magic Sand,250000000,false
Wand of the Dark Faerie,280000000,false
Ghostkersword,230000000,false
Greater Staff of the Earth Faerie,220000000,false
Thyoras Tear,200000000,false
Leaded Elemental Vial,Inflation Notice,false
Bony Grarrl Club,55000000,false
Blaze,Inflation Notice,false
Clawed Shield,30000000,false
Triple Turbo Dryer,30000000,false
Fire and Ice Blade,25000000,false
Superior Reflection Shield,25000000,false
Focus of Imminent Destruction,24000000,false
Flame Reflectozap,20000000,false
Mega U-Bend,20000000,false
Ubikiberry Bag,20000000,false
Maractite Dimensional Trap,13000000,false
Ultimate Dark Reflectorb,20000000,false
Sword of Lameness,15500000,false
Acara Transmogrification Potion,15000000,false
Desert Lutari Morphing Potion,15000000,false
Extra Loud Techo Fanatic Megaphone,15000000,false
Fan of Swords,15000000,false
Stealthy Lutari Morphing Potion,15000000,false
Gemmed Sword of Light,14000000,false
Royal Wedding Ring,13000000,false
Ultra Dual Shovel,Inflation Notice,false
Pirate Captains Cutlass,13000000,false
Illusens Staff,9000000,false
Lutari Transmogrification Potion,12000000,false
Twin Faerie Blades,11500000,false
Glittery Faerie Dust,11000000,false
Maraquan Kacheek Morphing Potion,10000000,false
A Shovel,10000000,false
Air Faerie Crown,10000000,false
Faerie Ixi Morphing Potion,8000000,false
Faerie Lutari Morphing Potion,12000000,false
Grey Draik Morphing Potion,8000000,false
Hubrids Puzzle Box,10000000,false
Rainbow Scorchstone,10000000,false
Sword of Ari,10000000,false
Sword of Reif,10000000,false
Sword of Skardsen,10000000,false
Sword of Thigl,10000000,false
Sword of Thare,9250000,false
Cloak of the Night,8000000,false
Faerie Shoyru Morphing Potion,9000000,false
Hissi Transmogrification Potion,9000000,false
Plushie Aisha Morphing Potion,9000000,false
Plushie Cybunny Morphing Potion,15000000,false
Potion of Healing,9000000,false
Wheel Shield,9000000,false
Combo Battle Mirror,8000000,false
Maraquan Cybunny Morphing Potion,8000000,false
Pink Lutari Morphing Potion,8000000,false
Slumberberry Potion,8000000,false
Kelpbeards Trident,7800000,false
Island Lutari Morphing Potion,8000000,false
Maraquan Gelert Morphing Potion,7000000,false
Pirate Lutari Morphing Potion,11000000,false
Hubrid Nox Memorial Shield,7400000,false
Faerie Tabard,7300000,false
Ghostkerbomb,7200000,false
