original,replacement,edited
Mutant Lutari Plushie,28000,false
Super Rare Blind Box Goodie Bag,55000000,false
Ace Zafara Plushie,100000000,false
Techo Statue Collectable Charm,100000000,false
Striped Birthday Goodie Bag,40000000,false
Usukicon Y7 Gift Bag,3000069,false
Jetsam Ace Plushie,1500069,false
King Skarl Quiguki Plushie,60000000,false
MAGAX: Destroyer Plushie,40000000,false
Oil Paint Peophin Plushie,35000000,false
Pastel Bori Plushie,3000069,false
Tigerfruit Collectable Charm,30000000,false
Blue PaintBrush Collectable Charm,1500069,false
King Skarl Snowbunny Plushie,30000000,false
Negg Faerie Doll,290000,false
25th Anniversary Birthday Bash Goodie Bag,20000000,false
Moon Rock Albert Collectable Charm,35000000,false
Fire Eyrie Plushie,20000000,false
Magical Rainbow Cybunny Plushie,30000000,false
Magical Red Blumaroo Plushie,20000000,false
Magical Red Skeith Plushie,20000000,false
Rainbow Kau Plushie,395000,false
Little Nippers Trick-or-Treat Bag,19000000,false
Festival Negg Collectable Charm,735000,false
Black Wadjet Plushie,12000000,false
Luxury Faerie Festival Snowglobe,15000000,false
Magical Yellow Tonu Plushie,15000000,false
Monoceraptor Plushie,15000000,false
Usukicon Y11 Gift Bag,10000000,false
Magical Green Krawk Plushie,15000000,false
Cloud Draik Plushie,3000069,false
Grundo Independence Day Usuki,12000000,false
Guardian of Fire Magic Plushie,3000069,false
Magical Yellow Kiko Plushie,3000069,false
Rainbow Uni Plushie,12000000,false
Swamp Lupe Neoquest Plushie,12000000,false
Birthday Aisha Plushie,1500069,false
Fire Lizard Plushie,370000,false
Floppy Turtum Plushie,100,false
Gallion Collectable Charm,3000000,false
Ilere Usuki,10000000,false
Kacheek Spinning Top,3000069,false
Kari Usuki,3000069,false
Magical Blue Krawk Plushie,15000000,false
Magical Blue Nimmo Plushie,3000069,false
Magical Blue Shoyru Plushie,12000000,false
Magical Green Kiko Plushie,3000069,false
Magical Rainbow Blumaroo Plushie,12000000,false
Magical Yellow Nimmo Plushie,10000000,false
Mr. Krawley Usuki,3000069,false
Neopets 20th Birthday Goodie Bag,10000000,false
Neopets 9th Birthday Goodie Bag,10000000,false
Quiggle Goodie Bag,3000069,false
Shock Lizard Plushie,3000069,false
Sidney Plushie,3000069,false
Snot Blocks,8000000,false
Tyrannian Usuki Reject,8000000,false
Usukicon Y12 Goodie Bag,10000000,false
Cybunny Goodie Bag,9000000,false
Ghost Fuzzle,9000000,false
King Skarl Plushie,445000,false
Magical Blue Cybunny Plushie,8000000,false
Magical Green Tonu Plushie,9000000,false
Magical Red Kiko Plushie,10000000,false
Magical Red Krawk Plushie,12000000,false
Snot Slingshot,41900,false
Collectors Edition Usuki Doll,3000069,false
Count von Roo Booster Pack,7500000,false
Darigan Citadel Collectors Usuki Doll,8000000,false
Leirobas Plushie,520000,false
Lightning Lizard Plushie,7700000,false
Magical Blue Tonu Plushie,8000000,false
Magical Cloud Lenny Plushie,3000069,false
Magical Red Cybunny Plushie,3000069,false
Magical Yellow Skeith Plushie,10000000,false
Neopets 14th Birthday Goodie Bag,8000000,false
Neopets 19th Birthday Goodie Bag,10000000,false
Neopets 21st Birthday Goodie Bag,10000000,false
Neopets 22nd Birthday Goodie Bag,8000000,false
Speckled Nimmo Plushie,8000000,false
Ghost Evil Fuzzle,7000000,false
Inferno Lizard Plushie,7000000,false
Magical Green Cybunny Plushie,420000,false
Halloween Draik Plushie,7000000,false
Magical Blue Kiko Plushie,3000069,false
Magical Green Koi Plushie,12000000,false
Magical Green Yurble Plushie,12000000,false
Magical Purple Zafara Plushie,1500069,false
Magical Red Koi Plushie,3000069,false
Magical Red Lenny Plushie,10000000,false
Magical Red Nimmo Plushie,8000000,false
Magical Yellow Cybunny Plushie,3000069,false
Magical Yellow Yurble Plushie,12000000,false
Melatite Dervish Plushie,7000000,false
Serpentine Dervish Plushie,7000000,false
Usukicon Y14 Goodie Bag,10000000,false
Usukicon Y15 Goodie Bag,6500000,false
Usukicon Y17 Goodie Bag,7000000,false
Valentines Boy Usuki,8000000,false
Valentines Girl Usuki,5000000,false
Gloom Kougra Plushie,6500000,false
Neopets 24th Birthday Goodie Bag,8000000,false
Magical Red Wocky Plushie,3000069,false
Cuddly Shoyru Plushie,3000069,false
Elephante Lamp Collectable Charm,1500069,false
Gondolier Usuki,6000000,false
Insane Evil Fuzzle,5000000,false
Magical Starry Lupe Plushie,2500000,false
Quiguki Musketeer,3000069,false
Rainbow Tuskaninny Plushie,6000000,false
Traditional Welsh Quiguki,6000000,false
Usukicon Y18 Goodie Bag,10000000,false
Werewolf Usuki,6000000,false
Magical Green Wocky Plushie,1500069,false
Magical Spotted Blumaroo Plushie,3000069,false
Mime Quiguki,3000069,false
Usukicon Y19 Goodie Bag,7000000,false
Baby Bruce Plushie,5000000,false
Ballerina Quiguki,6000000,false
Chrysolite Dervish Plushie,5000000,false
Electro Lizard Plushie,7000000,false
Forms Rainbow Balloon,3000069,false
Igloo Garage Sale : The Game Trick-or-Treat Bag,5000000,false
Krawk Island Yooyu Plushie,5000000,false
Magical Desert Krawk Plushie,3000069,false
Magical Fire Lupe Plushie,4000000,false
Magical Green Flotsam Plushie,1500069,false
Magical Green Gelert Plushie,1500069,false
Magical Yellow Lenny Plushie,6000000,false
Magical Yellow Wocky Plushie,1500069,false
Neopets 15th Birthday Goodie Bag,5000000,false
Neopets 18th Birthday Goodie Bag,5000000,false
Neopets Tarot Cards,1500069,false
Quiguki Mermaid,5000000,false
Rainbow Grundo Plushie,193000,false
Recovered Meerca Collectable Charm,5000000,false
Recovered Shoyru Collectable Charm,7000000,false
Royal Meepit Plushie,7000000,false
Strange Metal Usuki,3000069,false
Lord Kass Usuki,1500069,false
Thunder Lizard Plushie,3000069,false
12th Birthday Celebration Xweetok Plushie,4000000,false
Boraxis Plushie,3000069,false
Library Faerie Doll,925000,false
Lost Desert Usuki,4000000,false
Magical Red Usul Plushie,4000000,false
Prince Jazan Plushie,4000000,false
Quiguki Prom Queen,340000,false
Rare Blind Box Goodie Bag,2500000,false
Recovered Jetsam Collectable Charm,4000000,false
Reject Yellow Acara Plushie,6000000,false
Spring Gift Basket,4000000,false
Tiki Tours Trick-or-Treat Bag,5000000,false
Virtupets Collectors Usuki Doll,3000069,false
Year 8 Usuki,5000000,false
